"INGREDIENT_ID","INGREDIENT_DATA_CATEGORY","INGREDIENT_NAME","INGREDIENT_CATEGORY","INGREDIENT_DESC","CALORIE","CARB","FAT","PROTEIN"
A0100101,樣品基本資料,大麥仁,穀物類,"生,已去殼,混合均勻磨碎",3.65,0.77,0.01,0.08
A0110101,樣品基本資料,大麥片,穀物類,"生,混合均勻打碎",3.65,0.76,0.01,0.08
A0120101,樣品基本資料,大麥仁粉,穀物類,"熟,烘烤過,混合均勻",3.89,0.85,0.01,0.07
A0130101,樣品基本資料,麥茶,穀物類,"罐裝,混合均勻(大麥抽出液,砂糖等)",0.18,0.04,0.0,0.0
A0200101,樣品基本資料,小米,穀物類,"生,已去殼,混合均勻磨碎",3.7,0.71,0.03,0.11
A0200201,樣品基本資料,糯小米,穀物類,"生,混合均勻磨碎",3.6,0.72,0.01,0.12
A0300101,樣品基本資料,小麥,穀物類,"生,已去殼,混合均勻磨碎",3.62,0.69,0.02,0.14
A0310101,樣品基本資料,小麥胚芽,穀物類,"生,混合均勻打碎",4.17,0.47,0.11,0.31
A0320101,樣品基本資料,去筋麵粉：澄粉,穀物類,"生,混合均勻",3.55,0.85,0.0,0.0
A0320202,樣品基本資料,低筋麵粉,穀物類,"生,混合均勻",3.64,0.78,0.01,0.08
A0320303,樣品基本資料,中筋麵粉,穀物類,"生,混合均勻",3.61,0.74,0.01,0.11
A0320404,樣品基本資料,高筋麵粉,穀物類,"生,混合均勻",3.62,0.73,0.01,0.12
A0320505,樣品基本資料,全麥麵粉,穀物類,"生,混合均勻(高筋麵粉,麩皮等)",3.59,0.71,0.01,0.13
A0320601,樣品基本資料,雜糧中筋麵粉,穀物類,"生,混合均勻(中筋麵粉,全麥麵粉,裸麥,小黑麥,燕麥,玉米,大麥,大豆,糙米,小米,亞麻籽等)",3.61,0.72,0.02,0.13
A0320702,樣品基本資料,雜糧高筋麵粉,穀物類,"生,混合均勻(高筋麵粉,麩皮,葵花籽,燕麥,玉米,大麥,米粉,小米,亞麻籽,蕎麥,香菜籽等)",3.6,0.69,0.02,0.14
A0350101,樣品基本資料,水餃皮,穀物類,"生,混合均勻打碎",2.64,0.57,0.0,0.07
A0350201,樣品基本資料,春捲皮,穀物類,"生,混合均勻打碎",2.41,0.5,0.0,0.08
A0350301,樣品基本資料,餛飩皮,穀物類,"生,混合均勻打碎",2.71,0.58,0.0,0.08
A0351101,樣品基本資料,乾麵條,穀物類,"生,乾麵條,混合均勻打碎(麵粉,鹽,水,食用澱粉等)",3.57,0.74,0.01,0.11
